Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic,Required Field?,Custom Alignment,Question Number,Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,demographics,Study Registration,text,Participant ID,,Auto-generated or assigned study ID,,,,,,y,,,,,
sub_initials,demographics,,text,Participant Initials,,AB,,,,y,,,,,,,
dob,demographics,,text,Date of Birth,,,date_ymd,,,y,,,,,,,
sex,demographics,Demographic Information,radio,Biological Sex,"1, Male | 2, Female | 3, Intersex | 99, Unknown",,,,,,,y,,,,,
ethnicity,demographics,,dropdown,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 99, Unknown",,,,,,,,,,,,
height_cm,vitals_and_labs,Physical Examination,text,Height,,Centimeters (cm),number,100,250,,,,,,,,
weight_kg,vitals_and_labs,,text,Weight,,Kilograms (kg),number,30,300,,,,,,,,
sys_bp,vitals_and_labs,Vital Signs,text,Systolic Blood Pressure,,mmHg,integer,105,150,,,,,,,,
dia_bp,vitals_and_labs,Vital Signs,text,Diastolic Blood Pressure,,mmHg,integer,65,95,,,,,,,,
heart_rate,vitals_and_labs,,text,Heart Rate,,Beats per minute (bpm),integer,58,100,,,,,,,,
bmi,vitals_and_labs,,calc,Body Mass Index (BMI),"round(([weight_kg] / (([height_cm]/100)^2)), 1)",Calculated automatically in kg/m²,,,,,,,,,,,
map_mmHg,vitals_and_labs,,calc,Mean Arterial Pressure (MAP),"round((([sys_bp]+ (2*[dia_bp]))/3),1)",Calculated automatically in mmHg,,,,,,,,,,,
diabetes_hx,medical_history,Medical History & Conditions,radio,Has the participant ever been diagnosed with Diabetes?,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,,,
diabetes_type,medical_history,,dropdown,Specify Diabetes Type,"1, Type 1 | 2, Type 2 | 3, Gestational | 4, Other",,,,,,[diabetes_hx] = '1',,,,,,
pregnant,medical_history,Reproductive Health,radio,Is the participant currently pregnant?,"1, Yes | 0, No | 99, Not Applicable / Unknown",,,,,,[sex] = '2',,,,,,
edd,medical_history,,text,Estimated Date of Delivery (EDD),,,date_ymd,,,,[pregnant] = '1',,,,,,
sym_fatigue,symptom_checklist,Baseline Symptom Assessment,radio,"Over the past 7 days, how often have you experienced Fatigue?","0, Never | 1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,symptom_grid,,
sym_nausea,symptom_checklist,,radio,"Over the past 7 days, how often have you experienced Nausea?",,,,,,,,,,,symptom_grid,,
sym_headache,symptom_checklist,,radio,"Over the past 7 days, how often have you experienced Headaches?",,,,,,,,,,,symptom_grid,,
curr_meds,concomitant_medications,Concomitant Medications,checkbox,Select all medication classes the participant is currently taking:,"1, Antihypertensives | 2, Statins | 3, Antidiabetics | 4, Analgesics | 99, None",,,,,,,,,,,,
admin_notes,administrative_log,Study Administration & Sign-off,notes,Clinical Coordinator Notes,,Enter any protocol deviations or additional context,,,,,,,,,,,
entry_date,administrative_log,,text,Date of Data Entry Completion,,,date_ymd,,,,,,,,,,@TODAY
